Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;TUHELJ;001;SVETI KRIŽ I;KUÆA KREŠIMIRA KOLETIÆA;SVETI KRIŽ 56;173;104;104;102;2;23;79
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;TUHELJ;002;SVETI KRIŽ II;KUÆA ANKICE FEKEŽA;SVETI KRIŽ 205;213;118;118;115;3;29;86
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;TUHELJ;003;TUHELJ;OSNOVNA ŠKOLA LIJEPA NAŠA TUHELJ;TUHELJ 54;181;108;108;103;5;33;70
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;TUHELJ;004;TRSTENO;KUÆA ŠTEFANIJE I LJUDEVITA HUDIÆA;TRSTENO  1C;139;95;95;93;2;51;42
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;TUHELJ;005;GLOGOVEC ZAGORSKI;KUÆA IVICE KUNŠTEKA;GLOGOVEC ZAGORSKI 4A;129;85;85;83;2;32;51
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;TUHELJ;006;ÈREŠNJEVEC;KUÆA RADE HORVATIN;ÈREŠNJEVEC, ULICA STJEPANA PUKLJAKA 15D;224;113;113;110;3;37;73
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;TUHELJ;007;TUHELJSKE TOPLICE;TERME TUHELJ D.O.O. - DVORAC MIHANOVIÆ;TUHELJSKE TOPLICE, ULICA LJUDEVITA GAJA 4;237;110;110;102;8;55;47
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;TUHELJ;008;LENIŠÆE;KUÆA DRAGUTINA ORLOVIÆA;LENIŠÆE 49;89;50;50;50;0;28;22
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;TUHELJ;009;PRISTAVA;KUÆA POK. EMILA GJURIÆA;PRISTAVA 135;196;130;130;125;5;53;72
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;TUHELJ;010;PROSENIK;SELJAÈKI DOM;PROSENIK;164;102;100;94;6;38;56
