Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;IVAN JANKOVIÆ;STJEPAN KOSTANJEVIÆ;RADOMIR LONÈAREVIÆ
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;001;GLINA;HRVATSKI DOM;UL. STJEPANA I ANTUNA RADIÆA 10;607;337;337;333;4;136;51;146
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;002;GLINA;KNJIŽNICA I ÈITAONICA GLINA;UL.STJEPANA I ANTUNA RADIÆA 10;302;146;146;145;1;79;38;28
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;003;GLINA;DOM JUKINAC;JUKINAÈKA 41;730;424;424;421;3;211;121;89
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;004;GLINA;"DJEÈJI VRTIÆ ""BUBAMARA""";FRANKOPANSKA 33;559;309;309;301;8;143;52;106
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;005;GLINA;OSNOVNA ŠKOLA GLINA;ANTE STARÈEVIÆA 1;389;201;201;196;5;76;27;93
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;006;GLINA;ŠATOR 1.IZA ZGRADE DRŽAVNE GEODETSKE UPRAVE;VUKOVARSKA 39;110;62;62;61;1;15;11;35
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;007;GLINA;ŠATOR 2.IZA ZGRADE DRŽAVNE GEODETSKE UPRAVE;VUKOVARSKA 39;447;233;233;229;4;95;61;73
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;008;GLINA;PROSTORIJE UDRUGE MATICE UMIROVLJENIKA;TRG DR.FRANJE TUÐMANA 15;680;404;404;395;9;192;82;121
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;009;MARIN BROD;"ŠATOR ISPRED ""HRVATSKE KORABLJE"" MARINBROD";MARIN BROD 26;300;204;204;202;2;95;54;53
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;010;NOVO SELO GLINSKO;ŠATOR ISPRED VATROGASNOG DOMA;NOVO SELO GLINSKO;85;68;68;66;2;47;17;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;011;HAÐER;ŠATOR ISPRED DRUŠTVENOG DOMA HAÐER;HAÐER;254;187;187;186;1;43;78;65
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;012;GORNJI VIDUŠEVAC;PROSTORIJE OSNOVNE ŠKOLE;GORNJI VIDUŠEVAC;515;313;313;308;5;119;151;38
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;013;STANKOVAC;ŠATOR ISPRED DRUŠTVENOG DOMA;STANKOVAC;74;40;40;39;1;4;33;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;014;SLATINA POKUPSKA;"ŠATOR  ISPRED ""RADIO BANOVINA"" D.O.O.";SLATINA POKUPSKA 80;77;47;47;44;3;8;36;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;015;GORNJA BUÈICA;VATROGASNI DOM DVD BUÈICA;GORNJA BUÈICA 8;370;134;134;130;4;8;96;26
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;016;GORNJE SELIŠTE;DRUŠTVENI DOM;GORNJE SELIŠTE;241;140;140;131;9;41;21;69
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;017;MAJA;OSNOVNA ŠKOLA;MAJA;516;240;240;230;10;84;67;79
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;018;MALI GRADAC;PROSTORIJE VATROGASNOG DOMA MALI GRADAC;MALI GRADAC 76;250;114;114;102;12;26;29;47
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;019;DRAGOTINA;ŠATOR ISPRED STARE ZGRADE PREHRAMBENE INDUSTRIJE PETRINJA U DRAGOTINI/BLIZINA OSNOVNE ŠKOLE/;DRAGOTINA;388;162;162;137;25;30;22;85
