Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;IVONA LUKAÈEVIÆ;IVICA PEROVIÆ;MAJA ROMARIÆ ŽITVAJ
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;001;LETOVANIÆ;ZGRADA DVD LETOVANIÆ;LETOVANIÆ BB;475;222;222;205;17;30;139;36
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;002;STARI BROD;HRVATSKI DOM STARI BROD;STARI BROD;152;66;66;66;0;7;37;22
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;003;STARI FARKAŠIÆ;HRVATSKI DOM STARI FARKAŠIÆ;STARI FARKAŠIÆ;99;49;49;49;0;6;24;19
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;004;DUŽICA;HRVATSKI DOM DUŽICA;DUŽICA;312;141;141;134;7;13;92;29
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;005;PETROVEC;"PROSTORIJE SPORTSKE UDRUGE ""STJEPAN GRGAC""";PETROVEC BB;286;140;140;138;2;14;83;41
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;006;ŽAŽINA;VATROGASNI DOM;ŽAŽINA;264;136;136;136;0;7;35;94
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;007;POLJANA LEKENIÈKA;HRVATSKI DOM;POLJANA LEKENIÈKA;221;142;142;137;5;14;91;32
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;008;GORNJI VUKOJEVAC;HRVATSKI DOM;GORNJI VUKOJEVAC;57;38;38;37;1;7;29;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;009;DONJI VUKOJEVAC;DRUŠTVENI DOM JOSIP BIREK;DONJI VUKOJEVAC;429;185;185;181;4;20;81;80
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;010;BREŽANE LEKENIÈKE;LOVAÈKA KUÆA;BREŽANE LEKENIÈKE;236;93;93;90;3;11;27;52
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;011;CERJE LETOVANIÈKO;PODRUÈNA ŠKOLA;CERJE LETOVANIÈKO;60;22;22;22;0;2;7;13
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;012;LEKENIK;ZGRADA OPÆINE LEKENIK;ZAGREBAÈKA 44;709;381;381;371;10;39;157;175
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;013;LEKENIK;SLUŽBENE PROSTORIJE OTP - BANKE;ZAGREBAÈKA 77A;820;414;414;411;3;53;166;192
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;014;PEŠÆENICA;VATROGASNI DOM PEŠÆENICA;PEŠÆENICA;733;328;328;321;7;49;178;94
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;015;BRKIŠEVINA;MJESNI ODBOR BRKIŠEVINA - KONTEJNER;BRKIŠEVINA;67;24;24;22;2;1;11;10
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;016;ŠIŠINEC;HRVATSKI DOM;ŠIŠINEC;55;25;25;25;0;1;13;11
