Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DRAGUTIN BUTKOVIÆ;IVANKA CRNKO;GRGA DRAGIÈEVIÆ;IVICA KOZARIÆ;JOSIP MAÈAK;HRVOJE MUCAVAC
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;001;LETINA GORNJA;DVD DOM;LETINA GORNJA 38A;76;39;39;38;1;1;18;10;7;2;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;002;GREDA SUNJSKA;"DOM ""SELJAÈKE SLOGE""";GREDA SUNJSKA 99;357;193;193;182;11;5;19;70;71;10;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;003;SUNJA1;RIBIÈKI DOM;TRG KRALJA TOMISLAVA 5B, SUNJA;653;374;374;359;15;11;45;176;100;18;9
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;004;SUNJA2;DRUŠTVENI DOM;TRG KRALJA TOMISLAVA 5A, SUNJA;594;363;363;348;15;10;52;143;104;28;11
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;005;KRIVAJ SUNJSKI;DRUŠTVENI DOM;KRIVAJ SUNJSKI 30;88;60;60;60;0;1;1;38;17;3;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;006;ŽREME;PRIVATNA KUÆA IVICE KOŠKOVIÆA;ŽREME 28;45;37;37;37;0;1;1;14;17;4;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;007;SELIŠÆE SUNJSKO;DOM DVD-A;SELIŠÆE SUNJSKO 45;92;53;53;50;3;0;6;12;23;8;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;008;BOBOVAC;DRUŠTVENI DOM;BOBOVAC 162;258;159;159;155;4;0;9;16;57;71;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;009;CRKVENI BOK;DRUŠTVENI DOM;CRKVENI BOK 126A;249;110;110;105;5;0;37;9;4;53;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;010;ŠAŠ;DRUŠTVENI DOM;ŠAŠ 71A;266;86;86;84;2;11;27;24;19;3;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;011;SLOVINCI;DOM DVD-A;SLOVINCI 87/A;124;68;68;68;0;5;17;29;12;5;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;012;TIMARCI;DRUŠTVENI DOM;TIMARCI 48A;98;50;50;49;1;0;20;10;10;8;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;013;PAPIÆI;DRUŠTVENI DOM PAPIÆI;PAPIÆI 14 A;188;78;78;69;9;3;15;30;9;9;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;014;STAZA;DRUŠTVENI DOM;STAZA 86/C;167;108;108;106;2;2;14;24;49;12;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;015;DONJI HRASTOVAC;DRUŠTVENI DOM;DONJI HRASTOVAC 187/A;185;73;73;69;4;1;23;21;15;5;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;016;DRLJAÈA;PRIVATNA KUÆA MARIJANA GRBCA;DRLJAÈA 31;456;206;206;199;7;78;30;50;17;16;8
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;017;BRÐANI CESTA;PRIVATNA KUÆA STIPE JOZIÆA;BRÐANI CESTA 26A;274;142;142;135;7;28;16;37;23;15;16
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;018;BRÐANI KOSA;DRUŠTVENI DOM;BRÐANI KOSA 1F;65;41;41;40;1;1;2;4;22;11;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;019;KINJAÈKA;DRUŠTVENI DOM;KINJAÈKA 45A;191;74;74;72;2;6;12;16;18;14;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;020;BESTRMA;DRUŠTVENI DOM;BESTRMA BB;104;39;39;34;5;4;7;7;7;9;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;SUNJA;021;VELIKA GRADUSA;DRUŠTVENI DOM;VELIKA GRADUSA 27;152;58;58;56;2;12;4;33;3;2;2
