Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;MIRKO KOROTAJ;TOMISLAV LAZAR;ŽARKO RODEŠ;NIKOLA ŠÈURIC
05;VARAŽDINSKA ŽUPANIJA;opæina;CESTICA;001;GORNJE VRATNO;PROSTORIJE DRUŠTVENOG DOMA;VARAŽDINSKA ULICA 136;923;438;438;434;4;187;58;97;92
05;VARAŽDINSKA ŽUPANIJA;opæina;CESTICA;002;RADOVEC;PROSTORIJE STARE ŠKOLE RADOVEC;TRG IVANA PAVLA II;260;142;142;139;3;74;29;24;12
05;VARAŽDINSKA ŽUPANIJA;opæina;CESTICA;003;CESTICA;PROSTORIJE KULTURNOG CENTRA OPÆINE CESTICA;DRAVSKA 1 A;628;349;349;348;1;193;67;82;6
05;VARAŽDINSKA ŽUPANIJA;opæina;CESTICA;004;OTOK VIRJE;PROSTORIJE DRUŠTVENOG DOMA;MOŠE PIJADE;177;89;89;88;1;42;4;42;0
05;VARAŽDINSKA ŽUPANIJA;opæina;CESTICA;005;VIRJE KRIŽOVLJANSKO;PROSTORIJE VATROGASNOG DOMA;ORMOŠKA ULICA;232;146;146;141;5;72;19;48;2
05;VARAŽDINSKA ŽUPANIJA;opæina;CESTICA;006;RADOVEC POLJE;PROSTORIJE DRUŠTVENOG DOMA;RADOVEC POLJE;119;83;83;82;1;34;14;34;0
05;VARAŽDINSKA ŽUPANIJA;opæina;CESTICA;007;BABINEC;PROSTORIJE VATROGASNOG DOMA DVD-A BABINEC;ŠKOLSKA ULICA;645;385;385;372;13;282;38;40;12
05;VARAŽDINSKA ŽUPANIJA;opæina;CESTICA;008;VELIKI LOVREÈAN;PROSTORIJE VATROGASNOG DOMA DVD-A LOVREÈAN-DUBRAVA;SVETOG LOVRE;498;264;264;259;5;147;37;66;9
05;VARAŽDINSKA ŽUPANIJA;opæina;CESTICA;009;DUBRAVA KRIŽOVLJANSKA;"PROSTORIJE ZGRADE ""MIHALIÆ""";DUBRAVA KRIŽOVLJANSKA;195;97;97;93;4;62;14;16;1
05;VARAŽDINSKA ŽUPANIJA;opæina;CESTICA;010;JARKI;PROSTORIJE MJESNOG ODBORA JARKI;JARKI;277;146;146;140;6;73;26;36;5
05;VARAŽDINSKA ŽUPANIJA;opæina;CESTICA;011;GRADIŠÆE;PROSTORIJE VATROGASNOG DOMA GRADIŠÆE;GRADIŠÆE;225;116;116;115;1;55;21;35;4
05;VARAŽDINSKA ŽUPANIJA;opæina;CESTICA;012;NATKRIŽOVLJAN;PROSTORIJE MJESNOG ODBORA NATKRIŽOVLJAN;NATKRIŽOVLJAN;233;152;152;150;2;56;55;37;2
05;VARAŽDINSKA ŽUPANIJA;opæina;CESTICA;013;GORNJE VRATNO - 2;PROSTORIJE PRIVATNE KUÆE MLADENA IGNACA;G.VRATNO, VARAŽDINSKA 408;141;99;99;98;1;95;2;1;0
