Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP;KANDIDACIJSKA LISTA GRUPE BIRAÈA - LJUBIŠA GRUBAÈEVIÆ;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;001;RASINJA;DRUŠTVENI DOM;TRG SV. FLORIJANA 16;744;451;451;443;8;20;9;134;280
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;002;SUBOTICA PODRAVSKA;DRUŠTVENI DOM;TRG MLADOSTI 22;442;224;224;217;7;17;1;136;63
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;003;CVETKOVEC;DRUŠTVENI DOM;TRG SVETOG TROJSTVA 14;171;75;75;72;3;5;3;43;21
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;004;GORICA;VATROGASNI DOM;GORICA 11;112;53;53;48;5;4;1;27;16
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;005;KUZMINEC;VATROGASNI DOM;KUZMINEC 105;226;106;106;103;3;8;0;50;45
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;006;KOLEDINEC;DRUŠTVENI DOM;KOLEDINEC 63B;126;77;77;73;4;4;0;19;50
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;007;BELANOVO SELO;DRUŠTVENI DOM;BELANOVO SELO 24;28;19;19;19;0;0;1;9;9
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;008;IVANÈEC;DRUŠTVENI DOM;IVANÈEC 30A;40;17;17;16;1;0;1;12;3
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;009;DUGA RIJEKA;BIVŠA ŠKOLA;DUGA RIJEKA 26;168;76;76;70;6;0;43;17;10
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;010;RIBNJAK;DRUŠTVENI DOM;RIBNJAK 12;38;24;24;24;0;3;15;5;1
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;011;RADELJEVO SELO;DRUŠTVENI DOM;RADELJEVO SELO 31;84;27;27;27;0;2;7;4;14
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;012;PRKOS;BIVŠA ŠKOLA;PRKOS 28;107;36;36;35;1;3;10;7;15
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;013;VELIKI POGANAC;DRUŠTVENI DOM;VELIKI POGANAC 38;169;65;65;63;2;3;26;28;6
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;014;LUDBREŠKI IVANAC;DRUŠTVENI DOM;LUDBREŠKI IVANAC 34;44;24;24;24;0;1;5;5;13
