Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;TUNA IVIÆ;ANÐELKO KOLIÆ;SEBASTIJAN SIMONOVIÆ;IVAN ŠILAR
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ÐULOVAC;001;BATINJANI;DOM U BATINJANIMA;BATINJANI 70;227;78;78;76;2;27;32;9;8
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ÐULOVAC;002;VUKOVJE;DOM U VUKOVJU;VUKOVJE 33;131;72;72;69;3;39;22;1;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ÐULOVAC;003;BOROVA KOSA;DOM U BOROVOJ KOSI;BOROVA KOSA 41;55;32;32;32;0;9;10;4;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ÐULOVAC;004;MASLENJAÈA;DOM U MALOJ MASLENJAÈI;MALA MASLENJAÈA 2D;222;108;108;103;5;25;33;12;33
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ÐULOVAC;005;VELIKI BASTAJI;OSNOVNA ŠKOLA U VELIKIM BASTAJIMA;VELIKI BASTAJI 82;507;438;438;428;10;191;91;14;132
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ÐULOVAC;006;VELIKI MILETINAC;DOM U VELIKOM MILETINCU;VELIKI MILETINAC 38;58;45;45;44;1;24;5;6;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ÐULOVAC;007;ÐULOVAC;HRVATSKI DOM U ÐULOVCU- LIJEVO;FRANKOPANSKA 2;690;489;489;474;15;167;192;76;39
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ÐULOVAC;008;ÐULOVAC;HRVATSKI DOM U ÐULOVCU-DESNO;FRANKOPANSKA 2;350;233;233;229;4;47;146;25;11
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ÐULOVAC;009;MALA BABINA GORA;DOM U MALOJ BABINOJ GORI;MALA BABINA GORA 16;73;46;46;44;2;18;10;15;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ÐULOVAC;010;KORENIÈANI;DOM U KORENIÈANIMA;KORENIÈANI BB;177;148;148;147;1;53;61;21;12
