Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DAMIR BAJS NEZAVISNA LISTA - DAMIR BAJS NL, SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SELJAÈKA STRANKA - HSS, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, DEMOKRATI, NARODNA STRANKA - REFORMISTI - REFORMISTI, NEZAVISNI SELJACI HRVATSKE - NSH, GRAÐANSKO-LIBERALNI SAVEZ - GLAS, HRVATSKA SELJAÈKA STRANKA BRAÆE RADIÆ - HSS BRAÆE RADIÆ;DOMOVINSKI POKRET - DP;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  ŽELJKO HELD;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA UMIROVLJENIKA - HSU
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;001;GRUBIŠNO POLJE;CENTAR ZA KULTURU I INFORMIRANJE DR. FRANJO TUÐMAN;IVANA NEPOMUKA JEMERŠIÆA 1;561;301;301;292;9;84;14;23;152;19
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;002;GRUBIŠNO POLJE;MATICA UMIROVLJENIKA GRUBIŠNO POLJE;ULICA 4. STUDENI 1991. KBR.1A;720;407;407;390;17;114;27;30;201;18
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;003;GRUBIŠNO POLJE;"SREDNJA ŠKOLA ""BARTOLA KAŠIÆA""";BARTOLA KAŠIÆA 1;794;392;392;382;10;74;38;30;215;25
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;004;GRUBIŠNO POLJE;MJESNI DOM U GRUBIŠNOM POLJU;KRALJA ZVONIMIRA 75.;250;147;147;140;7;44;5;17;65;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;005;POLJANI;VATROGASNI DOM U POLJANIMA;POLJANI 66;209;120;120;113;7;35;10;9;57;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;006;DONJA RAŠENICA;VATROGASNI DOM U DONJOJ RAŠENICI;DONJA RAŠENICA 59;195;101;101;97;4;34;4;7;51;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;007;IVANOVO SELO;MJESNI DOM U IVANOVOM SELU;PRAŠKA 5;199;122;122;114;8;52;2;7;52;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;008;RASTOVAC;LOVAÈKI DOM U RASTOVCU;RASTOVAC 46;103;48;48;47;1;9;3;0;29;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;009;TREGLAVA;MJESNI DOM U TREGLAVI;TREGLAVA 2;76;48;48;48;0;20;3;1;23;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;010;VELIKI ZDENCI;MJESNI DOM U VELIKIM ZDENCIMA;MATE LOVRAKA 115;268;143;143;133;10;33;16;3;78;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;011;VELIKI ZDENCI;ZGRADA U PARKU VELIKI ZDENCI;TRG KRALJA TOMISLAVA 3;439;228;228;215;13;50;39;8;114;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;012;MALI ZDENCI;MJESNI DOM U MALIM ZDENCIMA;ANTUNA MIHANOVIÆA 77;355;192;192;182;10;46;13;6;107;10
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;013;ORLOVAC ZDENAÈKI;MJESNI DOM U ORLOVCU ZDENAÈKOM;ORLOVAC ZDENAÈKI 70A;223;105;105;100;5;35;8;1;54;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;014;GRBAVAC;MJESNI DOM U GRBAVCU;GRBAVAC 76;173;122;122;117;5;55;3;5;54;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;015;VELIKA BARNA;MJESNI DOM U VELIKOJ BARNI;KRALJA TOMISLAVA 1A;283;148;148;136;12;36;8;25;64;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;016;LONÈARICA;MJESNI DOM U LONÈARICI;LONÈARICA 50;102;55;55;55;0;25;3;1;26;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;017;DAPÈEVAÈKI BRÐANI;MJESNI DOM U DAPÈEVAÈKIM BRÐANIMA;DAPÈEVAÈKI BRÐANI 7;115;54;54;52;2;6;2;1;41;2
