Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;BOJAN KURELIÆ;TAMARA SMOKVINA;ZLATKO ŠAKIÆ;MARINA TOMIÆ PUJIÆ;SANJA UDOVIÆ
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VIŠKOVO;001;MARINIÆI;"""DOM MARINIÆI""";MARINIÆI 9;1134;354;354;338;16;39;11;11;91;186
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VIŠKOVO;002;MARINIÆI;"""DOM MARINIÆI""";MARINIÆI 9;1135;322;322;311;11;37;22;11;87;154
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VIŠKOVO;003;MARINIÆI;"""DOM MARINIÆI""";MARINIÆI 9;1195;390;390;383;7;50;21;19;91;202
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VIŠKOVO;004;VIŠKOVO;"OŠ ""SVETI MATEJ""";VOZIŠÆE 13;1400;408;408;396;12;53;23;26;97;197
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VIŠKOVO;005;VIŠKOVO;"OŠ ""SVETI MATEJ""";VOZIŠÆE 13;1341;448;448;440;8;61;24;32;116;207
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VIŠKOVO;006;VIŠKOVO;"OŠ ""SVETI MATEJ""";VOZIŠÆE 13;1686;515;515;504;11;82;23;46;181;172
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VIŠKOVO;007;SROKI;"""VATROGASNI DOM""";GORNJI SROKI 53;1412;426;426;419;7;66;25;44;105;179
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VIŠKOVO;008;SROKI;"""VATROGASNI DOM""";GORNJI SROKI 53;1246;335;335;330;5;52;22;24;86;146
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VIŠKOVO;009;MARÈELJI;"""STARA ŠKOLA MARÈELJI""";MARÈELJI 89;1064;345;343;337;6;67;42;13;100;115
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VIŠKOVO;010;MARÈELJI;"""STARA ŠKOLA MARÈELJI""";MARÈELJI 89;1122;391;391;385;6;86;53;19;94;133
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;VIŠKOVO;011;SARŠONI;"""STARA ŠKOLA SARŠONI""";SARŠONI BB;1519;488;488;477;11;53;20;29;117;258
