Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP, MOST, HRVATSKA STRANKA UMIROVLJENIKA - HSU, STRANKA UMIROVLJENIKA - SU, ZELENA LISTA;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA SELJAÈKA STRANKA - HSS, SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;HRVATSKA STRANKA PRAVA - HSP;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA STRANKA PRAVNE DRŽAVE - HSPD
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;001;DONJA PIŠTANA;DRUŠTVENI DOM;BANA JELAÈIÆA 18;219;122;122;114;8;14;39;11;0;50
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;002;ORAHOVICA;ZGRADA RADLOVAC;TRG PLEMENITIH MIHALOVIÆA 12;796;464;464;426;38;62;217;17;11;119
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;003;ORAHOVICA;DOM UDRUŽENJA OBRTNIKA;K.ZVONIMIRA 45;565;317;317;297;20;32;155;16;8;86
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;004;ORAHOVICA;DOM UMIROVLJENIKA;TRG BANA I. MAŽURANIÆA 7;413;243;243;224;19;32;106;9;10;67
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;005;ORAHOVICA;ZGRADA ŠUMARIJE;ZELENA 3;969;587;587;536;51;75;272;26;37;126
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;006;ORAHOVICA;DRUŠTVENI DOM U DOLJANIMA;TRG DAMIRA HORNUNGA 2;519;263;263;249;14;54;122;11;12;50
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;007;DOLCI;VATROGASNI DOM;DOLCI 65;244;155;155;143;12;18;89;25;5;6
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;008;CRKVARI;VATROGASNI DOM;CRKVARI 12;125;83;83;77;6;10;47;8;1;11
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;009;NOVA JOŠAVA;VATROGASNI DOM;NOVA JOŠAVA 49;139;76;76;74;2;8;48;6;2;10
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;010;STARA JOŠAVA;VATROGASNI DOM;STARA JOŠAVA 45;208;130;130;123;7;22;74;6;1;20
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;ORAHOVICA;011;DUZLUK;DRUŠTVENI DOM;MANASTIRSKA 9;140;66;66;57;9;7;18;10;3;19
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;001;BAKIÆ;PODRUÈNA OSNOVNA ŠKOLA BAKIÆ;BAKIÆ;426;190;190;185;5;31;128;1;9;16
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;SLATINA;002;BISTRICA;POSLOVNI PROSTOR TVRTKE TRGOCENTAR D.D.;BISTRICA 85;117;40;40;39;1;13;14;1;1;10
