Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;TOMISLAV ÈAMAGAJEVAC;MATKO ŠUTALO;MARKO TOMOKOVIÆ
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;001;VALPOVO;ŠUMARIJA VALPOVO;ULICA BANA JOSIPA JELAÈIÆA 4;582;297;297;289;8;86;194;9
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;002;VALPOVO;DVORAC D.O.O. VALPOVO;MATIJE ANTUNA RELJKOVIÆA 16;586;317;317;312;5;94;201;17
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;003;VALPOVO;SREDNJA ŠKOLA VALPOVO;ULICA DR. FRANJE TUÐMANA 2;606;361;361;350;11;79;260;11
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;004;VALPOVO;DOM TEHNIKE VALPOVO, ULAZ 1;BRAÆE RADIÆA 34;697;344;344;341;3;97;232;12
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;005;VALPOVO;"OSNOVNA ŠKOLA ""MATIJE PETRA KATANÈIÆA""";IVE LOLE RIBARA 3;739;359;359;348;11;103;232;13
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;006;VALPOVO;GRADSKA KNJIŽNICA I ÈITAONICA;ULICA JOSIPA JURJA STROSSMAYERA 36;632;329;329;322;7;93;221;8
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;007;VALPOVO;DOM TEHNIKE VALPOVO, ULAZ 2;BRAÆE RADIÆA 34;770;358;358;353;5;88;253;12
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;008;VALPOVO;VATROGASNI DOM VALPOVO;MATIJE GUPCA 50;676;282;282;278;4;98;173;7
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;009;VALPOVO;HAK;MATIJE GUPCA 48;677;382;382;371;11;99;259;13
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;010;LADIMIREVCI;OSNOVNA ŠKOLA LADIMIREVCI;ÐUKE MARIÈIÆA-MUNJE 21;586;296;296;290;6;116;157;17
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;011;LADIMIREVCI;SPORTSKA DVORANA OŠ LADIMIREVCI;ÐUKE MARIÈIÆA - MUNJE 21;585;275;275;268;7;113;136;19
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;012;MARJANÈACI;DRUŠTVENI DOM MARJANÈACI;MATIJE GUPCA 18;229;165;165;164;1;62;99;3
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;013;IVANOVCI;DRUŠTVENI DOM IVANOVCI;PETRA PRERADOVIÆA 58;353;210;210;206;4;87;112;7
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;014;ZELÈIN;DRUŠTVENI DOM ZELÈIN;OSLOBOÐENJA 9;251;166;166;160;6;106;52;2
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;015;HARKANOVCI;OSNOVNA ŠKOLA HARKANOVCI;ŠKOLSKA 6;379;203;203;194;9;95;93;6
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;016;ŠAG;OSNOVNA ŠKOLA ŠAG;BRAÆE RADIÆA 67;346;177;177;172;5;94;74;4
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;VALPOVO;017;NARD;OSNOVNA ŠKOLA;VALPOVAÈKA 27;400;247;247;244;3;88;150;6
