Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;IVAN JANKOVIÆ;RADOMIR LONÈAREVIÆ
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;001;GLINA;HRVATSKI DOM;UL. STJEPANA I ANTUNA RADIÆA 10;605;299;299;292;7;155;137
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;002;GLINA;KNJIŽNICA I ÈITAONICA GLINA;UL.STJEPANA I ANTUNA RADIÆA 10;302;137;137;136;1;97;39
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;003;GLINA;DOM JUKINAC;JUKINAÈKA 41;729;414;414;411;3;275;136
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;004;GLINA;"DJEÈJI VRTIÆ ""BUBAMARA""";FRANKOPANSKA 33;560;292;292;288;4;155;133
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;005;GLINA;OSNOVNA ŠKOLA GLINA;ANTE STARÈEVIÆA 1;389;190;190;186;4;84;102
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;006;GLINA;ŠATOR 1.IZA ZGRADE DRŽAVNE GEODETSKE UPRAVE;VUKOVARSKA 39;109;54;54;54;0;22;32
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;007;GLINA;ŠATOR 2.IZA ZGRADE DRŽAVNE GEODETSKE UPRAVE;VUKOVARSKA 39;447;202;202;201;1;108;93
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;008;GLINA;PROSTORIJE UDRUGE MATICE UMIROVLJENIKA;TRG DR.FRANJE TUÐMANA 15;679;379;379;374;5;227;147
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;009;MARIN BROD;"ŠATOR ISPRED ""HRVATSKE KORABLJE"" MARINBROD";MARIN BROD 26;300;191;191;188;3;126;62
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;010;NOVO SELO GLINSKO;ŠATOR ISPRED VATROGASNOG DOMA;NOVO SELO GLINSKO;85;65;65;65;0;56;9
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;011;HAÐER;ŠATOR ISPRED DRUŠTVENOG DOMA HAÐER;HAÐER;254;184;184;180;4;77;103
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;012;GORNJI VIDUŠEVAC;PROSTORIJE OSNOVNE ŠKOLE;GORNJI VIDUŠEVAC;515;269;269;265;4;177;88
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;013;STANKOVAC;ŠATOR ISPRED DRUŠTVENOG DOMA;STANKOVAC;74;35;35;35;0;19;16
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;014;SLATINA POKUPSKA;"ŠATOR  ISPRED ""RADIO BANOVINA"" D.O.O.";SLATINA POKUPSKA 80;77;43;43;43;0;19;24
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;015;GORNJA BUÈICA;VATROGASNI DOM DVD BUÈICA;GORNJA BUÈICA 8;369;113;113;106;7;38;68
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;016;GORNJE SELIŠTE;DRUŠTVENI DOM;GORNJE SELIŠTE;242;106;106;105;1;24;81
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;017;MAJA;OSNOVNA ŠKOLA;MAJA;516;204;204;204;0;99;105
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;018;MALI GRADAC;PROSTORIJE VATROGASNOG DOMA MALI GRADAC;MALI GRADAC 76;250;80;80;77;3;13;64
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;GLINA;019;DRAGOTINA;ŠATOR ISPRED STARE ZGRADE PREHRAMBENE INDUSTRIJE PETRINJA U DRAGOTINI/BLIZINA OSNOVNE ŠKOLE/;DRAGOTINA;388;145;145;144;1;11;133
